Price,Close,Signal,Portfolio Value,RSI,RSI_Signal,RSI Portfolio Value,MACD,MACD_Signal,MACD_Signal_Type,MACD Portfolio Value
Ticker,RELIANCE.NS,,,,,,,,,
Date,,,,,,,,,,
2023-01-02,1184.7564697265625,0,100000.0,,0,100000.0,0.0,0.0,0,100000.0
2023-01-03,1176.0865478515625,0,100000.0,,0,100000.0,-0.6916176994300258,-0.13832353988600518,-1,100000.0
2023-01-04,1158.37890625,0,100000.0,,0,100000.0,-2.638177133587533,-0.6382942586263107,-1,100000.0
2023-01-05,1156.3092041015625,0,100000.0,,0,100000.0,-4.298299059557166,-1.370295218812482,-1,100000.0
2023-01-06,1166.8187255859375,0,100000.0,,0,100000.0,-4.711614534887303,-2.0385590820274464,-1,100000.0
2023-01-09,1194.3690185546875,0,100000.0,,0,100000.0,-2.7839994193636812,-2.1876471494946936,-1,100000.0
2023-01-10,1176.7073974609375,0,100000.0,,0,100000.0,-2.65093741417445,-2.280305202430645,-1,100000.0
2023-01-11,1161.87451171875,0,100000.0,,0,100000.0,-3.6997265871016225,-2.5641894793648405,-1,100000.0
2023-01-12,1136.78466796875,0,100000.0,,0,100000.0,-6.480734396807065,-3.347498462853286,-1,100000.0
2023-01-13,1134.945068359375,0,100000.0,,0,100000.0,-8.732480833115687,-4.4244949369057665,-1,100000.0
2023-01-16,1124.136474609375,0,100000.0,,0,100000.0,-11.259378188250366,-5.791471587174687,-1,100000.0
2023-01-17,1140.0963134765625,0,100000.0,,0,100000.0,-11.83767953191932,-7.000713176123614,-1,100000.0
2023-01-18,1138.2105712890625,0,100000.0,,0,100000.0,-12.30629187559839,-8.06182891601857,-1,100000.0
2023-01-19,1136.9918212890625,0,100000.0,,0,100000.0,-12.630417878473963,-8.975546708509649,-1,100000.0
2023-01-20,1123.4696044921875,0,100000.0,31.902719303304693,0,100000.0,-13.81912172345801,-9.944261711499323,-1,100000.0
2023-01-23,1117.789306640625,0,100000.0,32.47611785746524,0,100000.0,-15.046088704428257,-10.96462711008511,-1,100000.0
2023-01-24,1111.189208984375,0,100000.0,34.7999742064553,0,100000.0,-16.36242573953973,-12.044186835976035,-1,100000.0
2023-01-25,1095.8271484375,0,100000.0,32.055077517498745,0,100000.0,-18.432741058656347,-13.321897680512098,-1,100000.0
2023-01-27,1075.0379638671875,0,100000.0,24.33438608133332,1,100000.0,-21.503119738118357,-14.95814209203335,-1,100000.0
2023-01-30,1085.3406982421875,0,100000.0,16.256273395363323,1,100958.36005064775,-22.84176673355887,-16.534867020338453,-1,100000.0
2023-01-31,1082.626953125,0,100000.0,17.91375969718392,1,100705.92755910805,-23.84674029507778,-17.99724167528632,-1,100000.0
2023-02-01,1076.2109375,0,100000.0,19.004860243701202,1,100109.10997306487,-24.874173929657218,-19.3726281261605,-1,100000.0
2023-02-02,1070.254638671875,0,100000.0,22.05916128370758,1,99555.05523003991,-25.870823277173713,-20.672267156363144,-1,100000.0
2023-02-03,1071.197509765625,0,100000.0,23.024544554803228,1,99642.76107164184,-26.281634920573424,-21.7941407092052,-1,100000.0
2023-02-06,1063.12548828125,0,100000.0,23.570440469744142,1,98891.90186892702,-26.947912025460028,-22.824894972456168,-1,100000.0
2023-02-07,1060.5728759765625,0,100000.0,11.023520289480487,1,98654.45794689981,-27.366452482078785,-23.73320647438069,-1,100000.0
2023-02-08,1081.7530517578125,0,100000.0,26.729887578942282,1,100624.63727945655,-25.692913717881765,-24.125147923080906,-1,100000.0
2023-02-09,1083.6387939453125,0,100000.0,28.12971614086075,1,100800.04896266041,-23.93851030968881,-24.08782040040249,1,100000.0
2023-02-10,1074.716064453125,0,100000.0,29.231999617284202,1,99970.05692590572,-23.002958877464835,-23.870848095814956,1,99176.59560159326
2023-02-13,1068.598876953125,0,100000.0,29.123598113410864,1,99401.03632332207,-22.495815773842423,-23.595841631420452,1,98612.09130974076
2023-02-14,1093.780517578125,0,100000.0,43.61828186026198,0,101743.43179877255,-19.833327015747273,-22.843338708285817,1,100935.8952161438
2023-02-15,1118.548095703125,0,100000.0,57.79179134593327,0,104047.31119256667,-15.545549511361969,-21.38378086890105,1,103221.48874263857
2023-02-16,1117.67431640625,0,100000.0,66.9346260027869,0,103966.03226789208,-12.078725604128522,-19.522769815946543,1,103140.85492796183
2023-02-17,1122.3426513671875,0,100000.0,65.38533378540525,0,104400.28064960915,-8.852500943695532,-17.38871604149634,1,103571.65668469307
2023-02-20,1110.476318359375,0,100000.0,60.760684179942494,0,103296.47469980565,-7.170550911857845,-15.345083015568642,1,102476.61163147846
2023-02-21,1119.537109375,0,100000.0,66.40545122756157,0,104139.3092154381,-5.04826996929296,-13.285720406313507,1,103312.75657813883
2023-02-22,1094.1484375,0,100000.0,57.88675894169524,0,101777.65569915943,-5.353291261080358,-11.699234577266878,1,100969.84748178165
2023-02-23,1088.9051513671875,0,100000.0,55.68350916070672,0,101289.9253762273,-5.94952972807755,-10.549293607429014,1,100485.98826945844
